Panel 1.1,Location,On Plan,Installed,,,Panel 1.3,Location,On Plan,Installed,,,Legende,
STIRRER  PANEL DISTRIBUTION BOARD - 5 1.18kW,F10-A1-9.0-FH3,X,,,,SIPAC-11 ,F10-A2-5.5-COE,X,X,Misschien op 5.5,,FRL,Fan Room Left
STIRRER  PANEL DISTRIBUTION BOARD - 6 1.18kW,F10-A1-9.0-FH3,X,,,,SIPAC-12 ,F10-A2-5.5-COE,X,X,,,FRR,Fan Room Right
STIRRER  PANEL DISTRIBUTION BOARD - 7 1.18kW,F10-A1-9.0-FH4,X,,,,SIPAC-13,F10-A2-5.5-COE,X,X,,,FSS,Fire Supression System Room
STIRRER  PANEL DISTRIBUTION BOARD - 8 1.18kW,F10-A1-9.0-FH4,X,,,,SIPAC-14 ,F10-A2-5.5-COE,X,X,,,FUR,Furnace
VACUM COMPRESOR F10-VAC-01 91.9kW,F10-A1-0.0-VCC,X,X,,,F10- OTHER OUTLETS PANEL,F10-A4-0.0-RPL,X,X,,,GPR,Ground Level Panel Room
VACUM COMPRESOR F10-VAC-02 91.9kW,F10-A1-0.0-VCC,X,X,,,"F-10 DUST FAN PANEL 29,97kW",,,,,,GSR,Generator Synchronisation Room
VACUM COMPRESOR F10-VAC-03 91.9kW,F10-A1-0.0-VCC,X,X,,,TIMON-10-1 28.8kW,F10-A4-9.0-SWP,X,X,,,HSE,HSE Office Corridor
VACUM COMPRESOR F10-VAC-04 91.9kW,F10-A1-0.0-VCC,X,X,,,TIMON-10-2 28.8kW,F10-A4-9.0-SWP,X,X,,,LCR,Lathi Control Room
EMOC COOLING FAN F10-ECF-14-1 110kW,F10-A1-0.0-FRL,X,,,,TIMON-10-1 CONVEYOR 15kW,F10-A4-9.0-SWP,X,X,,,LTR,Technical Room Left Side
EMOC COOLING FAN F10-ECF-14-2 110kW,F10-A1-0.0-FRL,X,,,,TIMON-10-2 CONVEYOR 15kW,F10-A4-9.0-SWP,X,X,,,MLR,Male Locker Room
CONVEYOR COOLING FAN F10-CCF-13 55kW,F10-A1-0.0-FRL,X,,,,FULL PALLET 10-1,,,X,,,MTR,Monosection Training Room
CONVEYOR COOLING FAN F10-CCF-13-14 55kW,F10-A1-0.0-FRL,X,,,,FULL PALLET 10-2,,,X,,,MVC,Midle Voltage Corridor
